param,prior_sd,post_sd,contraction,prior_q05,prior_q95,post_q05,post_q95,flag
lam2,0.709778843052729,0.169041861630433,0.238161313604941,-0.922449375103045,1.41234156596973,-0.211156400515646,0.343302089852965,data-identified
nu,0.149907152686939,0.0352792891809502,0.235340933028235,-0.346371753680628,0.147384293748778,-0.0981651471027905,0.0167296456114676,data-identified
sig_pie,0.10109626144346,0.0231772749847912,0.229259466708901,0.169491024717669,0.466932668730166,0.165704654544076,0.242391246170615,data-identified
sme_U,0.0843120598850385,0.017368163107565,0.2059985621422,0.141060429766384,0.390172585310345,0.109207655168097,0.166201471464947,data-identified
kappi_2023,2.89239864763984,0.594276894873469,0.205461614137592,1.11276231646023,8.57071969189142,1.34518037619174,3.24179426484528,data-identified
lam1,0.708155889225953,0.13924385670238,0.196628819756876,-0.916645448455075,1.4147176851535,0.0552126803570801,0.511514441904667,data-identified
sme_hpp,0.171983061024092,0.0336700231882052,0.195775229186604,0.282177437838697,0.780943470953598,0.298043717013668,0.407524131491924,data-identified
sme_y,0.203747794065016,0.0397844699932014,0.195263316473042,0.337370705482787,0.939151487557181,0.228698551769273,0.359500613704372,data-identified
phipr,0.0499295823167455,0.00971979144037369,0.194669993005606,-0.0819667034952392,0.0823810405433161,-0.0192277822656418,0.0117146406515375,data-identified
alphapi,0.283072442993282,0.0525953035896477,0.185801567377916,0.0591869865997614,0.941307388801242,0.0547915963831767,0.225262882154306,data-identified
sig_c,0.272135814268366,0.0473123283369776,0.17385557451957,0.451467001501006,1.24735848816778,0.32644849225055,0.479428046029989,data-identified
phiu,0.0299909006688786,0.0046336828259866,0.154502956651614,-0.0977372474401247,-0.0031550802231443,-0.0188523078269466,-0.00407882455690542,data-identified
theta1,0.70537453781337,0.106031233374682,0.15031905419123,-0.902886358790096,1.40770355245457,-0.19894664937893,0.142211624863641,data-identified
sme_pi,0.341326410898895,0.0486376344517319,0.14249595958204,0.563828981423155,1.5631559837108,0.578672113191657,0.741030175849268,data-identified
theta2,0.70636605385288,0.100628922411741,0.142460020357518,-0.913136771658818,1.40582157700698,-0.0487346027604252,0.286033980186823,data-identified
sme_k,0.0676140374856843,0.00959452189152737,0.141901330674992,0.112843533582045,0.312042486445194,0.0526955561672026,0.0837082277546037,data-identified
sig_k,0.103140506738165,0.0145174055338758,0.140753676639674,0.16921862695943,0.469599128672606,0.0643867917986791,0.109372107501608,data-identified
sig_w,0.0672146414727875,0.00877816801658709,0.130599045449659,0.112675974264165,0.311671762510452,0.0515297460101341,0.0800424047482976,data-identified
xi2,0.70296664317613,0.0854199444818631,0.121513510365044,-1.40307008594937,0.900368463281959,-0.129823291192281,0.152354404953653,data-identified
sme_w,0.0681499585364612,0.00678217801286652,0.0995184466508216,0.112490106658039,0.313747991857326,0.0519424135006618,0.0742114176559722,data-identified
xi1,0.709305598149056,0.0702592657245111,0.0990535897472878,-1.41569910582639,0.915311666332207,-0.451146951929423,-0.22456873819054,data-identified
rhow,0.300089237510952,0.0296291030353961,0.0987343074385158,0.0388671248817117,0.961385513146837,0.904675908142095,0.995386639087305,data-identified
phik,0.0499813205290807,0.00229536433276549,0.0459244435414621,-0.0825530880310253,0.082015234323402,-0.00402751280701885,0.00344412965450095,data-identified
chi2,0.708914648323451,0.0281271065784449,0.0396762948049728,-1.16216050925028,1.16573445709614,-0.0304236134551963,0.0600950936941518,data-identified
chi1,0.709023620214595,0.0278637245330748,0.0392987253720003,-1.16916626339794,1.16612281185584,-0.0147757718817978,0.0763952526962174,data-identified
sme_pieobs,5.71767716527685e-15,5.55111512312578e-17,NaN,0.3,0.3,0.3,0.3,fixed
