phiy,sme_y,ll,lp,lpost
-0.0445679874796749,0.298102077697429,-271.929570894175,-31.860822545223,-303.790393439398
-0.0347930199240188,0.298102077697429,-271.849894981318,-31.8220349815953,-303.671929962914
-0.0250180523683628,0.298102077697429,-272.084750633174,-31.7928024170389,-303.877553050213
-0.0152430848127068,0.298102077697429,-272.634138326579,-31.773124851554,-304.407263178133
-0.00546811725705072,0.298102077697429,-273.498057346278,-31.7630022851404,-305.261059631419
-0.142317663036235,0.3155848275712,-290.356864343249,-32.3003395643761,-322.657203907625
-0.132542695480579,0.3155848275712,-287.37179792937,-32.1660020100342,-319.537799939404
-0.122767727924923,0.3155848275712,-284.680069337451,-32.0412194547637,-316.721288792214
-0.112992760369267,0.3155848275712,-282.281678805911,-31.9259918985646,-314.207670704475
-0.103217792813611,0.3155848275712,-280.176625857913,-31.820319341437,-311.99694519935
-0.093442825257955,0.3155848275712,-278.364911685549,-31.7242017833807,-310.08911346893
-0.083667857702299,0.3155848275712,-276.846534381472,-31.6376392243959,-308.484173605868
-0.073892890146643,0.3155848275712,-275.621495376193,-31.5606316644825,-307.182127040675
-0.0641179225909869,0.3155848275712,-274.689794192874,-31.4931791036405,-306.182973296514
-0.0543429550353309,0.3155848275712,-274.051431308352,-31.4352815418699,-305.486712850222
-0.0445679874796749,0.3155848275712,-273.706406245791,-31.3869389791707,-305.093345224962
-0.0347930199240188,0.3155848275712,-273.654719005191,-31.348151415543,-305.002870420734
-0.0250180523683628,0.3155848275712,-273.896370063388,-31.3189188509866,-305.215288914374
-0.0152430848127068,0.3155848275712,-274.431358466708,-31.2992412855017,-305.73059975221
-0.00546811725705072,0.3155848275712,-275.259684930407,-31.2891187190881,-306.548803649495
-0.142317663036235,0.333067577444972,-290.937874407622,-31.9387428763576,-322.87661728398
-0.132542695480579,0.333067577444972,-288.167847962233,-31.8044053220157,-319.972253284249
-0.122767727924923,0.333067577444972,-285.671955675933,-31.6796227667452,-317.351578442678
-0.112992760369267,0.333067577444972,-283.450197787139,-31.5643952105462,-315.014592997685
-0.103217792813611,0.333067577444972,-281.502575011107,-31.4587226534185,-312.961297664526
-0.093442825257955,0.333067577444972,-279.829086632582,-31.3626050953623,-311.191691727945
-0.083667857702299,0.333067577444972,-278.42973336682,-31.2760425363774,-309.705775903197
-0.073892890146643,0.333067577444972,-277.304514260146,-31.199034976464,-308.50354923661
-0.0641179225909869,0.333067577444972,-276.453429789397,-31.131582415622,-307.585012205019
-0.0543429550353309,0.333067577444972,-275.876480431411,-31.0736848538514,-306.950165285262
-0.0445679874796749,0.333067577444972,-275.573665232512,-31.0253422911523,-306.599007523664
-0.0347930199240188,0.333067577444972,-275.544984669539,-30.9865547275245,-306.531539397064
-0.0250180523683628,0.333067577444972,-275.790439219329,-30.9573221629681,-306.747761382297
-0.0152430848127068,0.333067577444972,-276.310027689788,-30.9376445974832,-307.247672287271
-0.00546811725705072,0.333067577444972,-277.103751511428,-30.9275220310697,-308.031273542497
-0.142317663036235,0.350550327318743,-291.736002293364,-31.6656212949045,-323.401623588269
-0.132542695480579,0.350550327318743,-289.159398880736,-31.5312837405626,-320.690682621299
-0.122767727924923,0.350550327318743,-286.839477148787,-31.4065011852922,-318.24597833408
-0.112992760369267,0.350550327318743,-284.776237097518,-31.2912736290931,-316.067510726611
-0.103217792813611,0.350550327318743,-282.969678488509,-31.1856010719654,-314.155279560475
-0.093442825257955,0.350550327318743,-281.41980156018,-31.0894835139092,-312.509285074089
-0.083667857702299,0.350550327318743,-280.126606789367,-31.0029209549244,-311.129527744291
-0.073892890146643,0.350550327318743,-279.090092983977,-30.925913395011,-310.016006378988
-0.0641179225909869,0.350550327318743,-278.310260859267,-30.8584608341689,-309.168721693436
-0.0543429550353309,0.350550327318743,-277.787110653655,-30.8005632723984,-308.587673926053
-0.0445679874796749,0.350550327318743,-277.520641651885,-30.7522207096992,-308.272862361584
-0.0347930199240188,0.350550327318743,-277.510854807631,-30.7134331460714,-308.224287953703
-0.0250180523683628,0.350550327318743,-277.757749644057,-30.6842005815151,-308.441950225572
-0.0152430848127068,0.350550327318743,-278.261325445907,-30.6645230160301,-308.925848461937
-0.00546811725705072,0.350550327318743,-279.021583405272,-30.6544004496166,-309.675983854889
-0.142317663036235,0.368033077192514,-292.722961077581,-31.4628693416196,-324.185830419201
-0.132542695480579,0.368033077192514,-290.320914397131,-31.3285317872778,-321.649446184409
-0.122767727924923,0.368033077192514,-288.159642586599,-31.2037492320073,-319.363391818606
-0.112992760369267,0.368033077192514,-286.239145645986,-31.0885216758082,-317.327667321795
-0.103217792813611,0.368033077192514,-284.559423336874,-30.9828491186806,-315.542272455554
-0.093442825257955,0.368033077192514,-283.120476136099,-30.8867315606243,-314.007207696723
-0.083667857702299,0.368033077192514,-281.922303566824,-30.8001690016395,-312.722472568463
-0.073892890146643,0.368033077192514,-280.964905867468,-30.7231614417261,-311.688067309194
